,count,mean,std,min,25%,50%,75%,max,range,iqr
Elevation,581012.0,2959.3653,279.9847,1859.0,2809.0,2996.0,3163.0,3858.0,1999.0,354.0
Aspect,581012.0,155.6568,111.9137,0.0,58.0,127.0,260.0,360.0,360.0,202.0
Slope,581012.0,14.1037,7.4882,0.0,9.0,13.0,18.0,66.0,66.0,9.0
Horizontal_Distance_To_Hydrology,581012.0,269.4282,212.5494,0.0,108.0,218.0,384.0,1397.0,1397.0,276.0
Vertical_Distance_To_Hydrology,581012.0,46.4189,58.2952,-173.0,7.0,30.0,69.0,601.0,774.0,62.0
Horizontal_Distance_To_Roadways,581012.0,2350.1466,1559.2549,0.0,1106.0,1997.0,3328.0,7117.0,7117.0,2222.0
Hillshade_9am,581012.0,212.146,26.7699,0.0,198.0,218.0,231.0,254.0,254.0,33.0
Hillshade_Noon,581012.0,223.3187,19.7687,0.0,213.0,226.0,237.0,254.0,254.0,24.0
Hillshade_3pm,581012.0,142.5283,38.2745,0.0,119.0,143.0,168.0,254.0,254.0,49.0
Horizontal_Distance_To_Fire_Points,581012.0,1980.2912,1324.1952,0.0,1024.0,1710.0,2550.0,7173.0,7173.0,1526.0
