,count
Soil_Type_29,115247
Soil_Type_23,57752
Soil_Type_32,52519
Soil_Type_33,45154
Soil_Type_22,33373
Soil_Type_10,32634
Soil_Type_30,30170
Soil_Type_12,29971
Soil_Type_31,25666
Soil_Type_24,21278
Soil_Type_13,17431
Soil_Type_38,15573
Soil_Type_39,13806
Soil_Type_11,12410
Soil_Type_4,12396
Soil_Type_20,9259
Soil_Type_40,8750
Soil_Type_2,7525
Soil_Type_6,6575
Soil_Type_3,4823
Soil_Type_19,4021
Soil_Type_17,3422
Soil_Type_1,3031
Soil_Type_16,2845
Soil_Type_26,2589
Soil_Type_18,1899
Soil_Type_35,1891
Soil_Type_34,1611
Soil_Type_5,1597
Soil_Type_9,1147
Soil_Type_27,1086
Soil_Type_28,946
Soil_Type_21,838
Soil_Type_14,599
Soil_Type_25,474
Soil_Type_37,298
Soil_Type_8,179
Soil_Type_36,119
Soil_Type_7,105
Soil_Type_15,3
