fold_index,fold_id,repeat,split,algorithm,family,macro_f1,accuracy,cohen_kappa,recall_spruce_fir,recall_lodgepole_pine,recall_ponderosa_pine,recall_cottonwood_willow,recall_aspen,recall_douglas_fir,recall_krummholz,fit_time_sec,pred_time_sec,pred_latency_ms_per_1k
1,Rep1_Fold1,1,1,MajorityClass_ZeroRule,Trivial Baseline,0.09365,0.4876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0006,0.0551
1,Rep1_Fold1,1,1,LogisticRegression,Linear/Probabilistic,0.522487,0.7271,0.55215,0.695283,0.809475,0.822764,0.382979,0.006098,0.250836,0.535411,4.2332,0.0107,1.0717
1,Rep1_Fold1,1,1,DecisionTree,Tree/Rule-based,0.732966,0.8131,0.699389,0.815414,0.836751,0.793496,0.617021,0.493902,0.665552,0.796034,0.7401,0.0122,1.2217
1,Rep1_Fold1,1,1,RandomForest,Ensemble,0.808743,0.8926,0.82537,0.871366,0.937244,0.918699,0.638298,0.439024,0.702341,0.855524,6.1083,0.2245,22.4545
1,Rep1_Fold1,1,1,LightGBM,Ensemble,0.821506,0.8981,0.834469,0.877948,0.939295,0.900813,0.638298,0.487805,0.749164,0.883853,12.0884,0.2367,23.6698
1,Rep1_Fold1,1,1,MLP,Neural/Kernel,0.753247,0.8512,0.758911,0.80746,0.912018,0.871545,0.574468,0.506098,0.588629,0.847025,22.8886,0.0431,4.3077
2,Rep1_Fold2,1,2,MajorityClass_ZeroRule,Trivial Baseline,0.09365,0.4876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0
2,Rep1_Fold2,1,2,LogisticRegression,Linear/Probabilistic,0.542976,0.7211,0.541364,0.695557,0.796349,0.804878,0.510638,0.006098,0.247492,0.560907,3.3758,0.0117,1.1695
2,Rep1_Fold2,1,2,DecisionTree,Tree/Rule-based,0.730267,0.8201,0.711294,0.819528,0.844135,0.798374,0.553191,0.585366,0.688963,0.787535,0.6169,0.0174,1.7393
2,Rep1_Fold2,1,2,RandomForest,Ensemble,0.828696,0.8923,0.825146,0.878497,0.929245,0.892683,0.829787,0.47561,0.735786,0.858357,5.0175,0.0935,9.3462
